isbn,author_id
9780764585975,205
9780307281708,205
9780812969702,206
9780060255084,207
9780060255084,208
9780330485388,209
9781594130236,209
9780345360359,210
9780321430847,211
9783822840856,212
9783822840856,213
9783822840856,214
9780743264464,215
9780743236010,215
9780553572490,216
9780060589462,217
9780802789471,218
9780802789471,219
9780802789471,220
9780688060695,221
9780688060695,222
9781859605158,223
9781592530878,224
9781592530878,225
9780451528803,79
9780451528803,226
9780192833983,79
9780192833983,227
9780192833983,89
9780192833983,88
9780486451381,79
9780486451381,87
9780452011878,228
9780452011878,229
9780451163080,228
9780452286757,228
9780451163936,228
9780451163936,230
9780452281257,228
9780451187840,228
9780451187840,229
9780451147950,228
9780451147950,230
9780451147950,231
9780451147950,232
9780452274044,228
9780452274044,233
9780452274044,229
9780471791430,234
9780471791430,235
9780553803815,236
9780375755194,237
9781592283194,238
9780975599518,239
9780374502003,240
9780374502003,241
9780307263940,242
9780312405540,243
9780312405540,244
9780195170139,245
9780195170139,246
9781400079490,247
9780688171629,248
9780060932688,152
9780060932688,249
9780060932688,250
9781400034956,152
9780307350428,152
9780307350442,152
9781400034543,152
9781400034543,251
9781400095803,152
9780375708114,252
9780861714926,253
9780861714926,254
9781843535843,255
9781843535843,256
9781843535843,257
9781740594776,258
9781740594776,259
9781740594776,260
9788408064763,258
9788408064763,259
9788408064763,261
9781740592055,258
9781740592055,262
9780618710539,263
9780060512804,264
9782228894166,264
9780060733353,264
9780060593087,264
9780553383447,264
9780553383447,265
9780380816033,264
9780553380965,264
9780553380965,266
9780553383430,264
9780553383430,267
9780553383430,268
9780060833183,264
9780553380958,264
9780553380958,269
9781880685358,270
9781880685358,271
9781880685334,270
9781880685334,271
9780465067107,272
9780465051366,272
9780465067091,272
9780898709193,273
9780898709193,274
9780898709193,275
9780060887964,276
9780060887964,277
9780060887964,278
9780061122415,276
9780061122415,277
9780061122415,279
9781421504605,280
9781421504605,281
9781591169253,280
9781591169253,281
9781421504599,280
9781421504599,281
9781591169208,280
9781591169208,281
9781591169291,280
